pair,removed_accession,n_datasets_retained,median_rho,direction_consistency_fraction,fdr_lt_0_10_count,nominal_p_lt_0_05_count,claim_boundary
myeloid_vs_adaptive,GSE154918,6,-0.4616671851671915,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE28750,6,-0.4616671851671915,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE32707,6,-0.5527417968300385,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE54514,6,-0.5527417968300385,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE65682,6,-0.5527417968300385,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_adaptive,GSE69063,6,-0.4616671851671915,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,NONE,7,-0.497737556561086,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE134347,6,-0.5089528118939886,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE154918,6,-0.475587088817828,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE28750,6,-0.4643718334849255,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE32707,6,-0.5089528118939886,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE54514,6,-0.4643718334849255,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE65682,6,-0.5089528118939886,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
myeloid_vs_mhcii,GSE69063,6,-0.4643718334849255,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,NONE,7,-0.587394957983193,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE134347,6,-0.6012992889463475,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE154918,6,-0.5270718995562824,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE28750,6,-0.5270718995562824,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE32707,6,-0.6012992889463475,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE54514,6,-0.540976230519437,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE65682,6,-0.6012992889463475,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_hladr,GSE69063,6,-0.5270718995562824,1.0,5,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,NONE,7,-0.599439775910364,1.0,7,6,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE134347,6,-0.6125253178194355,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE154918,6,-0.5493032212885155,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE28750,6,-0.5493032212885155,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE32707,6,-0.6125253178194355,1.0,6,6,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE54514,6,-0.562388763197587,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE65682,6,-0.6125253178194355,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
six_vs_mhcii,GSE69063,6,-0.5493032212885155,1.0,6,5,leave-one-cohort sensitivity; not an external validation test
